dataset name,old compartment,new compartment
"heavy fuel oil, burned in container ship",non-urban air or from high stacks,
"biodiesel, from non-residual oily biomass, burned in container ship",non-urban air or from high stacks,
"biodiesel, from non-residual cellulosic biomass, burned in container ship",non-urban air or from high stacks,
farming and supply of rapeseed,non-urban air or from high stacks,
"heat production, hardwood chips from forest, at furnace 50kW",urban air close to ground,
"biodiesel, from residual cellulosic biomass, burned in container ship",non-urban air or from high stacks,
"platinum group metal mine operation, ore with high palladium content",non-urban air or from high stacks,
"heat production, at hard coal industrial furnace 1-10MW",urban air close to ground,non-urban air or from high stacks
"petrol production, unleaded, petroleum refinery operation",unspecified,non-urban air or from high stacks
"heat production, softwood chips from forest, at furnace 1000kW",urban air close to ground,non-urban air or from high stacks
"transport, freight, sea, container ship",non-urban air or from high stacks,
"smelting of copper concentrate, sulfide ore",non-urban air or from high stacks,
blasting,unspecified,non-urban air or from high stacks
"transport, freight, sea, tanker for petroleum",non-urban air or from high stacks,
"light fuel oil production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"heat production, light fuel oil, at industrial furnace 1MW",urban air close to ground,non-urban air or from high stacks
"diesel, burned in agricultural machinery",non-urban air or from high stacks,
"biomethane production, from biogas upgrading, using amine scrubbing",unspecified,non-urban air or from high stacks
"diesel production, low-sulfur, petroleum refinery operation",unspecified,non-urban air or from high stacks
"natural gas, burned in gas turbine",urban air close to ground,unspecified
farming and supply of sugarbeet,non-urban air or from high stacks,
"lithium iron phosphate production, solid state process",unspecified,non-urban air or from high stacks
"petroleum and gas production, onshore",non-urban air or from high stacks,
"diesel, burned in building machine",unspecified,
"diesel, synthetic, burned in diesel-electric generating set, 10MW",non-urban air or from high stacks,
molybdenite mine operation,non-urban air or from high stacks,
"heat production, light fuel oil, at boiler 10kW condensing, non-modulating",urban air close to ground,
"ferrochromium production, high-carbon, 68% Cr",non-urban air or from high stacks,
"synthetic graphite production, battery grade",unspecified,non-urban air or from high stacks
"aluminium production, primary, liquid, prebake",unspecified,non-urban air or from high stacks
"hard carbon, from pitch, for SIB battery",unspecified,non-urban air or from high stacks
"diesel, synthetic, burned in container ship",non-urban air or from high stacks,
"diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",non-urban air or from high stacks,
"treatment of waste polyvinylchloride, open burning",non-urban air or from high stacks,
sulfuric acid production,urban air close to ground,non-urban air or from high stacks
"petroleum and gas production, offshore",non-urban air or from high stacks,
"petrol, burned in passenger car",urban air close to ground,
"sulfur production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"copper mine operation and beneficiation, sulfide ore",non-urban air or from high stacks,
"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014",urban air close to ground,non-urban air or from high stacks
cobalt production,unspecified,non-urban air or from high stacks
"transport, freight, sea, bulk carrier for dry goods",non-urban air or from high stacks,
"kerosene production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"nylon 6-6 production, glass-filled",urban air close to ground,non-urban air or from high stacks
hard coal mine operation and hard coal preparation,non-urban air or from high stacks,
"electricity production, hard coal, at coal mine power plant",urban air close to ground,non-urban air or from high stacks
"heavy fuel oil, burned in refinery furnace",urban air close to ground,non-urban air or from high stacks
"heat production, hard coal briquette, stove 5-15kW",urban air close to ground,
"nitric acid production, product in 50% solution state",urban air close to ground,non-urban air or from high stacks
"flat glass production, uncoated",unspecified,non-urban air or from high stacks
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",urban air close to ground,non-urban air or from high stacks
"treatment of waste gypsum, sanitary landfill",non-urban air or from high stacks,
"treatment of waste natural gas, sweet, burned in production flare",non-urban air or from high stacks,
"heat production, from hydrogen-fired one gigawatt gas turbine",non-urban air or from high stacks,
"heat and power co-generation, hard coal",non-urban air or from high stacks,
ferronickel production,non-urban air or from high stacks,
primary lead production from concentrate,non-urban air or from high stacks,
"heat production, natural gas, at boiler condensing modulating <100kW",urban air close to ground,
"heavy fuel oil production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"platinum group metal, mine and concentration operations",non-urban air or from high stacks,
iron sinter production,unspecified,non-urban air or from high stacks
bipyridylium-compound production,urban air close to ground,non-urban air or from high stacks
"heat and power co-generation, wood chips, 6667 kW",urban air close to ground,non-urban air or from high stacks
ferrosilicon production,unspecified,non-urban air or from high stacks
"diesel, burned in diesel-electric generating set, 10MW",non-urban air or from high stacks,
"iron ore mine operation, 46% Fe",non-urban air or from high stacks,
aluminium hydroxide production,unspecified,non-urban air or from high stacks
coke production,non-urban air or from high stacks,
plywood production,unspecified,
rape seed production,non-urban air or from high stacks,
"electricity production, natural gas, subcritical, steam cycle",non-urban air or from high stacks,
"ferromanganese production, high-coal, 74.5% Mn",non-urban air or from high stacks,
"heat production, mixed logs, at wood heater 6kW",urban air close to ground,
tin mine operation,non-urban air or from high stacks,
"diesel production, petroleum refinery operation",unspecified,non-urban air or from high stacks
three and five layered board production,unspecified,
"treatment of waste plastic, mixture, open burning",non-urban air or from high stacks,
"sulfur dioxide production, liquid",urban air close to ground,non-urban air or from high stacks
"diesel, burned in passenger train",unspecified,
"treatment of scrap lead acid battery, remelting",urban air close to ground,non-urban air or from high stacks
"biodiesel, from non-residual oily biomass, burned in passenger train",unspecified,
methylchloride production,urban air close to ground,non-urban air or from high stacks
"electricity production, from hydrogen-fired one gigawatt gas turbine, for grid balancing",non-urban air or from high stacks,
"biodiesel, from non-residual oily biomass, burned in heavy-duty vehicle",urban air close to ground,
"anode production, prebake, for aluminium electrolysis",unspecified,
"biodiesel, from residual oily biomass, burned in passenger train",unspecified,
"internal combustion engine, for lorry",unspecified,
"heat, residential, by combustion of light fuel oil, from cellulosic residual biomass, using boiler",urban air close to ground,
"heat and power co-generation, lignite",non-urban air or from high stacks,
"bioethanol, from sugar crops, burned in passenger car",urban air close to ground,
"transport, freight train, diesel",unspecified,
"board, softwood, raw, kiln drying to u=10%",urban air close to ground,unspecified
hard coal briquettes production,non-urban air or from high stacks,
"heat, residential, by combustion of light fuel oil, from oily biomass, using boiler",urban air close to ground,
phosphate rock beneficiation,non-urban air or from high stacks,
"heat production, natural gas, at industrial furnace >100kW",urban air close to ground,unspecified
"biodiesel, from residual cellulosic biomass, burned in passenger train",unspecified,
"magnesium production, pidgeon process",unspecified,non-urban air or from high stacks
"diesel, burned in single deck coach or urban bus",urban air close to ground,
treatment of copper cake,non-urban air or from high stacks,
"iron ore mine operation, 63% Fe",non-urban air or from high stacks,
structural timber production,unspecified,
