name,reference product,CPC,interventionpaper
aluminium oxide production,"aluminium oxide, non-metallurgical","41432: Alumina (aluminium oxide), except artificial corundum",mining and basic metals
market for carbon tetrachloride,carbon tetrachloride,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
market for packaging glass factory,packaging glass factory,53269: Other constructions for manufacturing,construction
"lime production, hydrated, packed","lime, hydrated, packed","37420: Quicklime, slaked lime and hydraulic lime",other products
"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage",17100: Electrical energy,electricity production
"electricity production, deep geothermal","electricity, high voltage",17100: Electrical energy,electricity production
"alkylketene dimer sizing agent production, for paper production","alkylketene dimer sizing agent, for paper production","34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"market for electricity, low voltage","electricity, low voltage",17100: Electrical energy,electricity production
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",17100: Electrical energy,electricity production
market for sulfur dichloride,sulfur dichloride,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"electricity production, natural gas, combined cycle power plant","electricity, high voltage",17100: Electrical energy,electricity production
peach production,peach,01345: Peaches and nectarines,agricultural biomass
isopropyl acetate production,isopropyl acetate,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"market for navy bean seed, for sowing","navy bean seed, for sowing","01243: Broad beans and horse beans, green",agricultural biomass
"barley seed production, Swiss integrated production, for sowing","barley seed, Swiss integrated production, for sowing","01151: Barley, seed",agricultural biomass
"electricity production, hydro, pumped storage","electricity, high voltage",17100: Electrical energy,electricity production
"dried roughage store construction, air dried, solar","dried roughage store, air dried, solar",53121: Industrial buildings,construction
natural gas liquids fractionation,butane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"electricity production, oil","electricity, high voltage",17100: Electrical energy,electricity production
"electricity production, nuclear, aluminium industry","electricity, high voltage, aluminium industry",17100: Electrical energy,electricity production
"electricity production, natural gas, conventional power plant","electricity, high voltage",17100: Electrical energy,electricity production
"acrylonitrile production, Sohio process",hydrogen cyanide,"34270: Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",chemicals and plastics
"housing system construction, pig, electricity from renewable energy products","housing system, pig, per pig place, electricity from renewable energy products",53269: Other constructions for manufacturing,construction
"market for land tenure, arable land, measured as carbon net primary productivity, forest, intensive","land tenure, arable land, measured as carbon net primary productivity, forest, intensive","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
"operation, dried roughage store, non ventilated","operation, dried roughage store, non ventilated",86111: Post-harvest crop services,agricultural biomass
"treatment of sewage sludge, 97% water, WWT, WW from LCD backlight production, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
"market for heat and power co-generation unit, 50kW electrical, components for electricity only","heat and power co-generation unit, 50kW electrical, components for electricity only","46131: Parts of electric motors, generators and the like",machinery and equipment
"compressed air production, 800 kPa gauge, <30kW, optimized generation","compressed air, 800 kPa gauge",34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],chemicals and plastics
tram production,tram,"49520: Self-propelled railway or tramway coaches, vans and trucks (except maintenance or service vehicles)",machinery and equipment
"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage",17100: Electrical energy,electricity production
"paper production, woodfree, uncoated, 100% recycled content, at non-integrated mill","paper, woodfree, uncoated",32113: Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood,pulp and paper
"market for grass seed, organic, for sowing","grass seed, organic, for sowing",01940: Beet seeds (excluding sugar beet seeds) and seeds of forage plants,agricultural biomass
